time,team,first_name,last_name,event,mar,score,pt
19:45,bowie,Miles,JACKSON,TURNOVR,,,
19:43,terrapins,Rasheed,Sulaimon,STEAL,,,
19:41,terrapins,Rasheed,Sulaimon,MISSED LAYUP,,,
19:41,terrapins,Jake,Layman,REBOUND (OFF),,,
19:40,bowie,Justin,BECK,FOUL,,,P1T1
19:20,terrapins,Jake,Layman,MISSED 3 PTR,,,
19:20,terrapins,Robert,Carter,REBOUND (OFF),,,
19:16,terrapins,Rasheed,Sulaimon,MISSED 3 PTR,,,
19:16,bowie,Miles,JACKSON,REBOUND (DEF),,,
19:02,terrapins,-,-,REBOUND (DEF),,,
19:02,bowie,Andre,JACKSON,MISSED 3 PTR,,,
18:43,terrapins,Robert,Carter,TURNOVR,,,
18:29,terrapins,Melo,Trimble,REBOUND (DEF),,,
18:29,bowie,Justin,BECK,MISSED JUMPER,,,
18:22,terrapins,Melo,Trimble,TURNOVR,,,
18:16,terrapins,Melo,Trimble,REBOUND (DEF),,,
18:16,bowie,Miles,JACKSON,MISSED 3 PTR,,,
18:06,bowie,Enuoma,EBINUM,FOUL,,,P1T2
17:56,terrapins,Diamond,Stone,GOOD! LAYUP,H 2,2-0,PNT
17:33,terrapins,Robert,Carter,REBOUND (DEF),,,
17:33,bowie,Dayshawn,WELLS,MISSED JUMPER,,,
17:25,terrapins,Diamond,Stone,GOOD! LAYUP,H 4,4-0,FB/PNT
17:25,terrapins,Jake,Layman,ASSIST,,,
17:10,bowie,Justin,BECK,MISSED LAYUP,,,
17:10,bowie,Miles,JACKSON,REBOUND (OFF),,,
17:06,bowie,Miles,JACKSON,GOOD! TIP-IN,H 2,4-2,PNT
16:49,bowie,Dayshawn,WELLS,FOUL,,,P1T3
16:39,terrapins,Jake,Layman,GOOD! LAYUP,H 4,6-2,PNT
16:39,terrapins,Robert,Carter,ASSIST,,,
16:24,bowie,Andre,JACKSON,MISSED JUMPER,,,
16:24,bowie,Justin,BECK,REBOUND (OFF),,,
16:15,terrapins,Melo,Trimble,FOUL,,,P1T1
16:15,bowie,Enuoma,EBINUM,MISSED FT SHOT,,,
16:15,bowie,-,-,REBOUND (OFF),,,
16:15,bowie,Enuoma,EBINUM,GOOD! FT SHOT,H 3,6-3,
16:15,terrapins,Jared,Nickens,SUB IN,,,
16:15,bowie,Julian,LIVINGSTON,SUB IN,,,
16:15,terrapins,Melo,Trimble,SUB OUT,,,
16:15,bowie,Michael,BRISCOE,SUB OUT,,,
16:15,bowie,Miles,JACKSON,SUB OUT,,,
15:50,bowie,Enuoma,EBINUM,FOUL,,,P2T4
