category,rank,college,volunteers
large,1,University of Washington,72
large,2,University of Wisconsin-Madison,68
large,3,University of Minnesota,59
large,3,University of Florida,59
large,5,University of Colorado Boulder,53
large,6,University of Michigan,48
large,7,Indiana University Bloomington,47
large,8,Colorado State University,43
large,8,"University of California, Santa Barbara ",43
large,10,The Ohio State University,42
large,11,University of Maryland,41
large,12,University of North Carolina at Chapel Hill,39
large,13,"University of California, Berkeley ",37
large,14,"University of California, Davis  ",36
large,14,"University of California, S an Diego ",36
large,16,University of Illinois at Urbana-Cha mpaign,35
large,16,University of South Florida,35
large,16,"University of California, Los Angeles ",35
large,16,University of Oregon,35
large,16,James Madison University,35
large,21,California Polytechnic State U niversity,34
large,22,Arizona State University,33
large,22,Michigan State University,33
large,24,San Diego State University,32
large,24,"University of California, Sa nta Cruz ",32
medium,1,The George Washington University,43
medium,2,American University,42
medium,3,Western Washington University,41
medium,4,Cornell University,38
medium,5,University of Virginia,36
medium,6,University of Vermont,31
medium,7,Georgetown University,29
medium,8,Emory University,27
medium,9,Humboldt State University,25
medium,10,University of Montana,24
medium,10,The College of William & Mary,24
medium,12,Tulane University,19
medium,13,University of New Hampshire,18
medium,14,Montana State University,16
medium,14,University of Wisconsin-Stevens Point,16
medium,14,Howard University,16
medium,14,University of San Diego,16
medium,18,Fordham University,15
medium,18,SUNY Geneseo,15
medium,20,University of Hawai'i at Mānoa,14
medium,20,University of Minnesota Duluth,14
medium,20,University of Wisconsin-La Crosse,14
medium,20,Boston College,14
medium,20,Johns Hopkins University,14
medium,25,University of Rhode Island,13
medium,25,University of North Carolina Wilmington,13
medium,25,University of Miami,13
medium,25,University of Chicago,13
small,1,Gonzaga University,18
small,1,University of Puget Sound,18
small,3,Macalester College,17
small,4,The Evergreen State Colleg e,13
small,4,Carleton College,13
small,6,Middlebury College,12
small,6,Willamette University,12
small,8,University of Mary Washington,11
small,8,Dickinson College,11
small,8,Simmons College,11
small,11,University of North Carolina at Asheville,10
small,11,Gettysburg College,10
small,11,Saint Michael's College,10
small,14,Bucknell University,9
small,14,University of Richmond,9
small,14,Oberlin College,9
small,14,St. Lawrence University,9
small,14,Denison University,9
small,14,Allegheny College,9
small,14,Bowdoin College,9
small,14,Kalamazoo College,9
small,14,Knox College,9
small,23,Wake Forest University,8
small,23,Drake University,8
small,23,Seattle Pacific University,8
small,23,Smith College,8
small,23,Stonehill College,8
small,23,Whitworth University,8
small,23,Wellesley College,8
small,23,Clark University,8
small,23,Lewis & Clark College,8
small,23,The College of Wooster,8
small,23,Grinnell College,8
grad,1,Tulane University,18
grad,2,University of Michigan,17
grad,2,University of Denver,17
grad,4,University of Washington,16
grad,5,American University,15
